title,price,link
"Like New Laptops HP 255 G4 15.6"" Laptop, AMD A6 Dual-Core Processor , 4GB RAM, 128GB SSD, AMD Radeon R4 Graphics, DVD-RW, HDMI, Bluetooth, HDMI, Webcam, Windows 10","Rs. 34,999",//www.daraz.pk/products/like-new-laptops-hp-255-g4-156-laptop-amd-a6-dual-core-processor-4gb-ram-128gb-ssd-amd-radeon-r4-graphics-dvd-rw-hdmi-bluetooth-hdmi-webcam-windows-10-i466318067.html
"Like New Laptops Dell Latitude E7470 Ultrabook Laptop: 14"" Intel I5-6300U 6th Gen, 256GB SSD, 8GB Ram, Windows 10 Pro","Rs. 49,499",//www.daraz.pk/products/like-new-laptops-dell-latitude-e7470-ultrabook-laptop-14-intel-i5-6300u-6th-gen-256gb-ssd-8gb-ram-windows-10-pro-i471485565.html
"Latitude E7270 Laptop - Core I5 6th Generation - 8GB DDR4 RAM - 256GB SSD - 12.5"" FHD Display - WINDOWS 10 - RENEWED","Rs. 68,500",//www.daraz.pk/products/e7270-6th-i5-8gb-ddr4-fhd-10-i267068383.html
"GF63 Thin 11SC (GTX1650 Max Q, GDDR6 4GB) Tiger Lake i7-11800H+HM570 8GB*2 Ram 1TB NVMe PCIe Gen3x4 SSD 15.6"" FHD DOS with Win 11 and free Bagpack.","Rs. 319,999",//www.daraz.pk/products/gf63-11sc-gtx1650-q-gddr6-4gb-i7-11800h-hm570-8gb-2-1tb-nvme-pcie-gen3x4-ssd-156-fhd-dos-i425293485.html
Fujitsu T935 Core i5-5th Generation 8GB Ram 500gb Hard Drive,"Rs. 48,000",//www.daraz.pk/products/t935-8gb-i5-5th-gb-i379099633.html
"HP ORIGINAL | Chromebook 11 G4 | 8 to 10 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | WINDOWS 10 INSTALLED | Dual Core | WITH FREE MOUSE","Rs. 9,503",//www.daraz.pk/products/hp-11-g4-8-10-16gb-ssd-20-gb-hd-i533393401.html
"Dell 3310 Intel Core i3-8th Generation | 8GB Ram , 128GB M2 SSD | 3Hours+ Battery Backup | One Month Warranty | Charger Included","Rs. 38,500",//www.daraz.pk/products/dell-3310-intel-core-i3-8th-generation-8gb-ram-128gb-m2-ssd-3hours-battery-backup-one-month-warranty-charger-included-i365815805.html
P | Chromebook 14 G5 | 16GB Storage | 4GB RAM | 14.1″ HD Display | Playstore Supported | With Type C fast charging Charger,"Rs. 20,999",//www.daraz.pk/products/p-air-14-g5-air-16gb-ace-4gb-ram-lain-4-hd-c-i540243485.html
"HP ORIGINAL | Chromebook 11 G4 | 8 to 10 Hours Battery Timing | 16GB SSD Storage | 4GB RAM | 11.6"" FULL HD Display | WINDOWS 10 INSTALLED | Dual Core | WITH FREE MOUSE & LAPTOP BAG GIFT","Rs. 9,899",//www.daraz.pk/products/hp-11-g4-8-10-4gb-ssd-16gb-116-hd-i533387542.html
"Like New Laptops Lenovo ThinkPad E560 15.6 inch High Performance Business laptop, 256GB SSD, Intel Core i5 (7th Gen) 2.50 GHz, 8 GB DDR3L, DVD RW, WiFi, HDMI/VGA, Gigabit LAN, fingerprint reader, Windows 10 Pro 64-bit","Rs. 53,999",//www.daraz.pk/products/like-new-laptops-lenovo-thinkpad-e560-156-inch-high-performance-business-laptop-256gb-ssd-intel-core-i5-7th-gen-250-ghz-8-gb-ddr3l-dvd-rw-wifi-hdmivga-gigabit-lan-fingerprint-reader-windows-10-pro-64-bit-i468052971.html
DELL CHROMEBOOK LAPTOP 3120 P22T - 4GB/16GB - Longer Battery Life,"Rs. 11,650",//www.daraz.pk/products/dell-chromebook-laptop-3180-4gb32gb-with-play-store-long-battery-life-i434659482.html
Apple MacBook Pro 2012 | 500GB Storage | 8GB RAM | 2.5GHz Dual-Core Core i5 | Mid 2012 | 13.3-inch LED Display | Dual Operating System MacOS & Windows 10 | Silver,"Rs. 44,999",//www.daraz.pk/products/apple-macbook-pro-2012-500gb-storage-8gb-ram-25ghz-dual-core-core-i5-mid-2012-133-inch-led-display-dual-operating-system-macos-windows-10-silver-i414215762.html
"HP ProBook 11 G2 , Core i3 6th Generation, 8GB DDR4 Ram, 500GB Hard Drive, 11.1"" Led Display, Intel HD Graphics","Rs. 28,499",//www.daraz.pk/products/hp-11-g2-i3-6th-8gb-ddr4-500gb-111-led-hd-i538861574.html
"HP Probook 450 G9 12th Gen Core i7-1255U, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, 15.6"" FHD, Backlit Keyboard, DOS, Silver","Rs. 288,999",//www.daraz.pk/products/hp-probook-450-g9-12th-gen-core-i7-1255u-8gb-ddr4-512gb-ssd-intel-iris-xe-graphics-156-fhd-backlit-keyboard-dos-silver-i421431014.html
Lenovo N21 Chromebook – 11.6″ – 2 GB RAM – 16 GB ROM,"Rs. 13,500",//www.daraz.pk/products/n21-116-2-gb-16-gb-i351945705.html
"Like New Laptops HP ProBook 11-G2 11.6"" HD Touch-Screen Business Laptop, i3 6th Gen Intel HD Graphics 510, Windows 10 Pro 8GB 256GB SSD","Rs. 37,999",//www.daraz.pk/products/like-new-laptops-hp-probook-11-g2-116-hd-touch-screen-business-laptop-i3-6th-gen-intel-hd-graphics-510-windows-10-pro-8gb-256gb-ssd-i471495844.html
Memory card 4GB 8GB 16GB 32GB 64GB 128GB Class 10 sd card флешка mini sd card 16 32 64 128 gb for Smartphone with free adapter,"Rs. 4,107",//www.daraz.pk/products/4-8-16-32-64-128-class-10-sd-card-i534885919.html
